库名,表名,路径,du B（不准确）,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,bigolive_zdx_group_pk_match_enhance_web,/data/hive/report_tb.db/bigolive_zdx_group_pk_match_enhance_web,225,0,zhangdongxue,,zhangdongxue,hdfs,,,,
report_tb,bigolive_zdx_group_pk_match_enhance_new_web,/data/hive/report_tb.db/bigolive_zdx_group_pk_match_enhance_new_web,22716,0,zhangdongxue,,zhangdongxue,hdfs,,,,
report_tb,zhangchuqiao_likee_record_import_cost2,/data/hive/report_tb.db/zhangchuqiao_likee_record_import_cost2,,,zhangchuqiao,,,,,,,
report_tb,likelive_wj_sdk_video_owner_all,/data/hive/report_tb.db/likelive_wj_sdk_video_owner_all,-411163222,0.004,weijing,,weijing,hdfs,,,,
report_tb,bigolive_yty_lowprice_diamond_success,/data/hive/report_tb.db/bigolive_yty_lowprice_diamond_success,2043,0,yutianyu,,yutianyu,hdfs,,,,
report_tb,bigolive_yty_1diamond_list_success,/data/hive/report_tb.db/bigolive_yty_1diamond_list_success,2295,0,yutianyu,,yutianyu,hdfs,,,,
report_tb,likee_moment_publish_cost_v2,/data/hive/report_tb.db/likee_moment_publish_cost_v2,,,linruolin,,,,,,,
report_tb,hive_us_audio_ua_count_compare_swh,/data/hive/report_tb.db/hive_us_audio_ua_count_compare_swh,2313876,0,sunweihong,,sunweihong,hdfs,,,,
report_tb,hive_us_video_ua_count_compare_swh,/data/hive/report_tb.db/hive_us_video_ua_count_compare_swh,2267436,0,sunweihong,,sunweihong,hdfs,,,,
report_tb,likeelive_lrr_match_finally_report_all,/data/hive/report_tb.db/likeelive_lrr_match_finally_report_all,5040816,0,linrongrong,,linrongrong,hdfs,,,,
report_tb,likee_watch_lqt_test_step_xxl_swhd_2,/data/hive/report_tb.db/likee_watch_lqt_test_step_xxl_swhd_2,19032,0,xuxiaolin,,xuxiaolin,hdfs,,,,
report_tb,likee_stuck_leave_lqt_test_step_xxl_swhd_2,/data/hive/report_tb.db/likee_stuck_leave_lqt_test_step_xxl_swhd_2,20805,0,xuxiaolin,,xuxiaolin,hdfs,,,,
