目录,du B,du TB,目录属主,目录属组
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_active_time_uid,1421530368.00,4.365,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_last_getentry_day,-1060235648.00,4.151,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_perlost_users_day,-2145399168.00,4.131,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_imo_uid_push_ab_day,-715857024.00,4.077,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_detail_follow_status_day,498456192.00,3.997,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_version_day,-1072001664.00,3.94,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_feed_entry_accum1,-1542590336.00,3.87,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_from_feed,111199616.00,3.727,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_perlost_users_day_group_buid,-2074225536.00,3.674,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_detail_day,1899629824.00,3.541,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_push_xiafa_hour,89499008.00,3.524,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_active_uid_class,1559433600.00,3.517,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_out_view,467667584.00,3.305,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_netstate_completed_rate_day,1986294016.00,3.142,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_feature_uid,-2048869504.00,3.119,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_members_day,-109458176.00,3.051,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_push_activelevel_categeoryv1_day,895312896.00,3.024,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_anti_haras_call_buddy_uid,-1734948736.00,2.991,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_worldfeed_dispatched_detail_day,280018560.00,2.989,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/imo_world_abtest_client_info,-656780160.00,2.773,zhangyangjiang,hdfs
/data/hive/indigo_mediate_tb.db/imo_daily_user_register_active_info,117663872.00,2.707,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/indigo_relation_1v1_hdlink_day,1211846272.00,2.61,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_world_dau,-1853251840.00,2.596,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_users_info,975112960.00,2.403,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_consume_labels_total,1284982144.00,2.388,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_uid_subscribed_channel,59884032.00,2.375,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_result_day,1969753216.00,2.361,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_day_old,-565541120.00,2.324,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_userid_login_day,-900835456.00,2.288,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/temp_vapour_story_sent_view,-1236326016.00,2.229,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_active_hour_day,-546522240.00,2.207,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_push_activelevel_categeory_day,158379648.00,2.195,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_story_sent_detail_day,-842012800.00,2.148,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_follow_push_uid,-1857241728.00,2.119,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lsf_single_content_consume_report,1687463936.00,2.087,luoshifa,hdfs
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_dispatch_resourceid,-522928512.00,2.039,jiangjing,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_users_info_mediate,1651777152.00,2.005,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_ksing_dau,951188480.00,1.934,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_token_upload_test,-1219138560.00,1.893,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day6_mirror,625828736.00,1.891,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_push_daoda_hour_new,160076544.00,1.801,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lmj_imo_out_taskcenter_uid_day,1780011136.00,1.795,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_ksing_uv,-1965086976.00,1.779,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_active_uid_class_tmp,1899880320.00,1.779,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_story_detail_day,-35414016.00,1.742,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_worldfeed_follow_uid_all_orc_snap,569357056.00,1.715,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_uid_login_last30day_day,-1510904576.00,1.682,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_no_push_ab_day,-166133504.00,1.656,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_feeds_new_user_day,-1676460544.00,1.616,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_imouid_calltimes_day,923277824.00,1.587,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_yunying_push_bg_user_all_day,1312950784.00,1.548,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_temp_active_uid_behavior,2027918080.00,1.545,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_topic_consumption_02,402689152.00,1.516,jiangjing,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_action_entrance_switch_day,-402474368.00,1.496,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_hxy_channel_subscribe_copy,342492928.00,1.492,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_world_uv,-702670592.00,1.472,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_base_to_call,1986740736.00,1.404,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_call_gaididfa_detail_day,556413696.00,1.364,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_consume_labels,1331119360.00,1.329,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_base,-1809142272.00,1.295,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_switch_user_mediate,-364698240.00,1.23,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_sdl_feed_postid_day,790138240.00,1.212,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_offline_user_day_mirror,-354959872.00,1.199,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/imo_daily_user_friends_info,-1355090688.00,1.182,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_promote_channel_uid_info,-325417728.00,1.144,luoshifa,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_activity_retention_table_daily,-1170515840.00,1.132,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_completed_call_month,2144386048.00,1.123,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_channel_follow_type_analysis,-1790842880.00,1.092,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_action_30day_reguv_day,564059008.00,1.083,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_feed_bgroup_uid,-86071808.00,1.066,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/imo_world_mwy_resource_publish,-1056071808.00,1.065,mawenying,hdfs
/data/hive/indigo_mediate_tb.db/indigo_mwy_imo_live_server_record_day,-891169920.00,1.054,mawenying,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_activity_retention_table_new_daily,983797376.00,1.052,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_action_month,-806268032.00,1.042,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/imo_audio_uid_list,963601152.00,1.028,zhangyangjiang,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_city_name_union_day,-1361431552.00,1.022,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_uid_vv_day,-1096529664.00,1.011,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_story_newold_day,1158306816.00,0.993,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_rec_show_event_orc_tmp,-1646791296.00,0.979,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_last_login_hour,-1352020224.00,0.952,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_first_login_hour,-737052928.00,0.949,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lmj_imo_audio_uid_month,-1937052928.00,0.947,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhangxin8_imolive_sabc_day,-1912216448.00,0.928,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/imo_daily_user_churn_type_info_v2,-1077707008.00,0.87,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_imozone_untilyesterday_view_day,1125129472.00,0.853,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day6,-586935936.00,0.843,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day3_mirror,291965952.00,0.832,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/3s_high_active_user_daily_orc_v2,-46066752.00,0.828,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/imo_audio_uid_30days_calls_dyh_v2,-1118132160.00,0.819,dunyuhui,hdfs
/data/hive/indigo_mediate_tb.db/5s_high_active_user_daily_orc_v2,2107835136.00,0.818,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_uid_transfer_lang_day,2051704320.00,0.803,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zxy_uid_friends_block_0,-2036295680.00,0.799,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_ksing_imouid_bag_month,1078638912.00,0.794,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_uid_last_login_day_active_days,-966622720.00,0.761,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_tmp_user_recvinfo_week,-1668688128.00,0.752,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_tmp_user_lostinfo_week,1680213760.00,0.744,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_moments_untilyesterday_use_day_0910,-1099917056.00,0.726,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_netstate_completed_rate_filter_day,1767017536.00,0.72,wangyakun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_from_call,270984832.00,0.715,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_user_activity_abflag_mediate,-484211392.00,0.691,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_inbg_uid_day,-740276800.00,0.683,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/imo_daily_user_friends_info_v2,-1591276800.00,0.682,zhangyangjiang,hdfs
/data/hive/indigo_mediate_tb.db/indigochannels_subscribe_all,1125690496.00,0.681,zhangyangjiang,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_year_total,-837374912.00,0.671,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/user_action_info_day_orc_v2,-1910440320.00,0.662,yangzehui,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_detail_follow_day,35461568.00,0.652,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_mawenying_level_set_permeablity_record,-713669248.00,0.636,mawenying,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yuanyang_moments_untilyesterday_use_day,-1424669248.00,0.635,yuanyang,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_nobg_uid_day,816101824.00,0.61,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/tmpindigo_social_tag_id_day,1123905600.00,0.587,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lmj_imo_out_taskcenter_uid_accum,274807488.00,0.574,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_dispatch_resourceid_rank1,833742080.00,0.567,jiangjing,hdfs
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_dispatch_resourceid_v1,-573290624.00,0.562,jiangjing,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zxy_world_channel_uid_tmp,-1449421440.00,0.546,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_push_notification_temp2020,-1929421440.00,0.545,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_uid_vv_hour,2137382336.00,0.525,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_last_login_day,-2109650368.00,0.518,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_chats_menu_active_day,192316928.00,0.516,limingjun,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_userid_last_login_info,-122683072.00,0.516,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_first_login_day,-1695683072.00,0.514,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_push_seqid_day,-325748480.00,0.508,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day2_mirror,-1901912000.00,0.487,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_feature_push_user_days,1276055296.00,0.486,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_offline_wol_day_mirror,930055296.00,0.485,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yuanyang_story_yesterday_use_day,-853977408.00,0.48,yuanyang,hdfs
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_space_post_day,-1235977408.00,0.479,zhangxin8,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_show_beta_mediate,-1261977408.00,0.479,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_inbg_live_uid_day,-851010112.00,0.476,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_live_user_days,1129924480.00,0.47,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zxy_uid_friends_delete_0,-821075520.00,0.468,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_content_channel_retention_result,-987140928.00,0.46,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_month_active_and_three_day_inactive_user,338826368.00,0.457,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day_mirror,-1896173632.00,0.455,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_temp_active_uid,-1003206336.00,0.452,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_feed_push_seqid_userid_detail_day,1289760960.00,0.45,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_action_time_day,-1018239040.00,0.448,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/imo_audio_uid_30days_calls_dyh,-2007239040.00,0.447,dunyuhui,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_activity_imouser_days,-901271744.00,0.444,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_login_times_day_orc,-176304448.00,0.441,wangyunfei1,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_worldfeed_product_uid_day,-1490304448.00,0.44,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_watching_basic_data,349662848.00,0.438,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_heshuting_action_30day_reguv_rate_day,176662848.00,0.438,heshuting,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_xxjh_nobg_uid_day,-2134435264.00,0.424,liuruokai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_channel_open_retention_result,1555499328.00,0.419,huangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_recv_im_daily,1516499328.00,0.419,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_wyf_uid_last_login_info,1000499328.00,0.419,wangyunfei,hdfs
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_anti_haras_add_buddy_uid,-161533376.00,0.414,panquanhai,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_moments_id_view_detail_day,-1426631488.00,0.401,zhuangxiaoyi,hdfs
/data/hive/indigo_mediate_tb.db/indigo_imo_out_call_home_strategy_result,-2058631488.00,0.4,luoshifa,hdfs
/data/hive/indigo_mediate_tb.db/indigo_lsf_not_answered_user,-435729600.00,0.39,luoshifa,hdfs
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_apps_daliy,310204992.00,0.383,zoutianyu,hdfs
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_staytime_send_rk_uid_day,1845172288.00,0.381,liuruokai,hdfs
