目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_uid_friends_info_day_temp,"8,308,410,000,000",7.556,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_premium_mediate,"8,071,840,000,000",7.341,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_imo_7,"8,021,100,000,000",7.295,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_start_imo_uid,"7,797,500,000,000",7.092,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/user_action_info_all_orc_v2,"7,498,040,000,000",6.819,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_indigo_zhangxin8_chatroom_joinsuc_wait_total_day,"7,457,050,000,000",6.782,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_strategy_monitor_play_basis_hour,"7,277,640,000,000",6.619,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_strategy_day_abflag,"7,237,360,000,000",6.582,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yuanyang_imozone_imo_retention_all_mid_day,"6,987,810,000,000",6.355,,,,,,,yuanyang,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zxy_uid_friends_info_0,"6,890,090,000,000",6.267,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_joinchannel_until_day,"6,089,360,000,000",5.538,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yuanyang_imozone_imo_before_all_mid_day,"5,921,880,000,000",5.386,,,,,,,yuanyang,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_uid_day,"5,640,810,000,000",5.130,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_last_login_day,"5,573,720,000,000",5.069,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_imo_30,"5,352,670,000,000",4.868,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_day,"5,274,390,000,000",4.797,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_uid_activity_minute_day,"5,213,300,000,000",4.741,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_model_base_info,"4,941,410,000,000",4.494,,,,,,,panquanhai,hdfs,,,,
