algo,rec_bigolive_similarity_broadcaster_pair_count_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_pair_freq_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_game_feature_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_broadcaster_basic_feature_v5_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_broadcaster_basic_feature_v6_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_all_feature_v5_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_all_feature_v6_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_v5_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_weight_v5_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_label_weight_v6_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_sample_v5_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_similarity_broadcaster_sample_v6_f_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_pair_d_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_bid_cnt_d_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_bid_cnt_30d_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_country_bid_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_country_data_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_bid_cnt_global_30d_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_country_data_global_v4_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_training_data_d_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_word2vec_training_data_30d_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_country_dispatch_country_statis_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_abflag_dispatch_country_statis_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_dispatch_country_stay_time_v2_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_scene_dispatch_statis_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_domain_dispatch_statis_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_country_dispatch_statis_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_abflag_dispatch_statis_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_dispatch_strategy_stay_time_orc,day=yyyy-mm-dd,45
algo,rec_bigolive_dispatch_strategy_detail_orc,day=yyyy-mm-dd,45
vlog,like_user_ats_reqfile_info,day=yyyy-mm-dd,15
tmp,indigo_wyf_tmp_uid_first_login_rank_allday_hour,day=yyyy-mm-dd,7
tmp,like_topic_view1,day=yyyy-mm-dd,30
tmp,like_video_event_detail,day=yyyy-mm-dd,30
vlog,like_recom_video_cover,day=yyyy-mm-dd,30
vlog,linkd_proto_stats_v2,day=yyyy-mm-dd,30
vlog,like_gcm_delivery_receipt,day=yyyy-mm-dd,30
algo,like_rec_video_mid,day=yyyy-mm-dd,7
algo,followeduid_uid_detail_daily,day=yyyy-mm-dd,7
algo,tow_month_dau_uid_detail_daily,day=yyyy-mm-dd,7
indigo_mediate_tb,indigo_feed_push_seqid_userid_client_day,day=yyyy-mm-dd,3
indigo_mediate_tb,indigo_feed_push_seqid_userid_client_new_day,day=yyyy-mm-dd,3
indigo_mediate_tb,indigo_feed_push_seqid_userid_xiafa_day,day=yyyy-mm-dd,3
indigo_mediate_tb,indigo_feed_push_seqid_userid_detail_day,day=yyyy-mm-dd,15
indigo_mediate_tb,tmp_wyf_feed_type,day=yyyy-mm-dd,3
tmp,indigo_wyf_tmp_uid_first_login_rank_day,day=yyyy-mm-dd,3
tmp,indigo_wyf_tmp_uid_first_login_rank_hour,day=yyyy-mm-dd,3
tmp,indigo_feed_new_userid_day_tmp,day=yyyy-mm-dd,3
tmp,indigo_wyf_tmp_userid_first_login_rank_day,day=yyyy-mm-dd,3
algo,push_hdid_userflag_mediatable,day=yyyy-mm-dd,7
algo,push_hdid_disp_click_mediatable,day=yyyy-mm-dd,7
algo,push_disp_click_config,day=yyyy-mm-dd,7
algo,welog_video_score_3d,day=yyyy-mm-dd,1
algo,welog_video_score_14d,day=yyyy-mm-dd,1
vlog,linkd_proto_http_stats,day=yyyy-mm-dd,30
vlog,video_algorithm_embedding_v2,day=yyyy-mm-dd,180
algo,welog_video_score_1h,day=yyyy-mm-dd,1
algo,followeduid_uid_detail_daily_wyj,day=yyyy-mm-dd,14
algo,dm_cover_old_ios_user_dispatch_v1_wjd,day=yyyy-mm-dd,30
vlog,like_push_ack_detail,day=yyyy-mm-dd,30
indigo_us,avmanager_ack_call_shard_a,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_b,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_c,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_d,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_e,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_f,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_g,day=yyyy-mm-dd,90
indigo_us,avmanager_ack_call_shard_h,day=yyyy-mm-dd,90
