NAME,TBL_NAME
report_tb,short_video_content_quality_uv
report_tb,short_video_content_quality_normal
bigolive,bigo_mobile_game_report
bigolive,shower_mobile_game_start_end_stats_orc_tmp
bigolive,shower_mobile_game_start_end_stats_orc
bigolive,shower_mobile_game_viewer_peak_stats_orc
bigolive,viewer_showroom_mobile_game_enter_exit_orc
bigolive,shower_mobile_game_showtime_stats_orc
bigolive,shower_mobile_game_pcu_acu_stats_orc
bigolive,shower_mobile_game_dau_stats_orc
bigolive,all_type_check
report_tb,short_video_content_quality_1day
report_tb,short_video_content_quality_3day
report_tb,short_video_content_quality_7day
report_tb,short_video_content_quality_30day
report_tb,forward_msg_stats_hourly
report_tb,short_video_like_stats_day_orc
bigolive,bigo_install_apps
report_tb,mobile_owner_report_orc
report_tb,mobile_audience_report_orc
report_tb,bigolive_audience_vip_orc
report_tb,mobile_event_report_orc
report_tb,luoshifa_game_owner_report_orc
report_tb,luoshifa_game_event_report_orc
report_tb,luoshifa_game_audience_report_orc
report_tb,bigolive_show_vedio_by_upuid
tmp,tmp_liuyadong_tbl_video_day_orc
mediate_tb,bigo_daily_report_active_orc
report_tb,daily_active_retetion_stats_day_orc
report_tb,daily_active_retetion_stats_day
report_tb,bigolive_owner_vip_orc
tmp,tbl_immsg_bigo_all_session
mediate_tb,bigo_register_report_active_orc
report_tb,register_retetion_stats_day_orc
report_tb,register_retetion_stats_day
mediate_tb,short_video_start_show_proportion_orc
mediate_tb,short_video_upload_cost_time_orc
report_tb,short_video_upload_cost_time_stats_day
mediate_tb,short_video_upload_proportion_orc
report_tb,short_video_upload_proportion_stats_day
report_tb,luoshifa_internship_signed_daily_report_orc
bigolive,bigo_show_user_event_realtime
bigolive,third_party_user_day_orc
report_tb,bigo_acquaintance_relationship_tmp
report_tb,bigo_acquaintance_relationship
bigolive,tbl_fb_friend_list_day_orc
report_tb,bigolive_owner_vip_new_orc
report_tb,bigolive_audience_vip_new_orc
report_tb,http_quality_stats_day
bigolive,bigo_media_group_push_report
bigolive,tbl_video_event_day_orc
bigolive,daily_new_dev_ver_orc
bigolive,daily_new_dev_ver_unique_orc
report_tb,client_new_dev_ver_day_stats
report_tb,client_new_dev_ver_unique_day_stats
mediate_tb,bigo_imactive_user_month_stats_orc
report_tb,bigo_imactive_user_monthday_stats
bigolive,new_device_hdid_hour_orc
report_tb,client_dev_hour_stats
report_tb,client_new_dev_unique_hour_stats
report_tb,bigolive_daily_active_part_orc
report_tb,theme_room_start_end_stats_orc
vlog,like_install_apps
vlog,like_user_event_realtime
vlog,like_user_event_orc
vlog,like_user_event
vlog,like_im_picture_download
vlog,like_im_picture_upload
vlog,like_im_video_setting
vlog,like_im_video_record
vlog,like_im_video_watch
vlog,like_im_video_send
vlog,like_im_video_download
vlog,like_profile_use
vlog,like_message_send
vlog,like_bigolive_chat
vlog,like_block_click
vlog,like_block_thread_stat
bigolive,bigo_vlog_feature
bigolive,server_offline_push_static_orc
bigolive,client_offline_push_static_orc
report_tb,luoshifa_recommend_uid_orc
report_tb,luoshifa_outflow_uid_orc
report_tb,bigo_offline_push_msg_stats_bak
report_tb,bigolive_daily_report_orc
bigolive,bigo_sync_activity_event
bigolive,bigo_1vs1_anchor
report_tb,bigo_1vs1_anchor_ret
bigolive,bigo_live_game_live_stat
bigolive,bigo_live_user_loc_event
bigolive,bigo_hive_route_info
bigolive,bigo_hive_net_stat
vlog,like_server_offline_push_static_old
vlog,like_immsg_bigo
mysql_tb,t_room_impeach
default,cjy_viewer2broadcaster_1day
mysql_tb,bigo_photo_approve
report_tb,bigolive_uid_appsflyer_qudao_orc
default,cjy_hot_broadcaster_7day
default,cjy_viewer_genderuvpv_3day
vlog,like_daily_report
default,cjy_viewer2broadcaster_msg_1day
vlog,like_install
vlog,like_register
vlog,like_login
default,cjy_viewer2broadcaster_giftbean_1day
report_tb,common_show_user_event_starttime
report_tb,common_show_user_event_updown_speed
default,cjy_viewer_genderuvpv_giftbean_3day
default,cjy_viewer_genderuvpv_msg_3day
default,cjy_viewer2broadcaster_follow_1day
default,cjy_viewer_genderuvpv_follow_3day
vlog,like_vlog_feature
default,cjy_viewer_broadcastergendertendency3day_3day
default,cjy_viewer_genderuvpv_7day
default,cjy_viewer_genderuvpv_follow_7day
report_tb,common_quality_stats
default,cjy_viewer_genderuvpv_giftbean_7day
default,cjy_viewer_genderuvpv_msg_7day
default,cjy_broadcaster_gendertendency_7day
default,cjy_viewer_broadcastergendertendency7day_7day
report_tb,game_live_shower
report_tb,common_show_user_event_suc_ratio
mediate_tb,like_short_video_upload_cost_time_orc
report_tb,common_short_video_upload_cost_time_stats_day
mediate_tb,like_short_video_upload_proportion_orc
report_tb,common_short_video_upload_proportion_stats_day
bigolive,bigo_live_yygw_stat
bigolive,bigo_audit_call
vlog,daily_act_dev_orc
vlog,daily_new_dev_unique_orc
vlog,new_device_hdid_day_orc
report_tb,vlog_client_new_dev_unique_day_stats
report_tb,vlog_register_install_day_stats
default,viewer_gender_feature_v1
default,gender_sample_7day_v1
default,gender_sample_map_7day_v1
report_tb,bigolive_sign_shower_info
vlog,welog_tbl_svideo_event_info_day_orc
vlog,welog_tbl_video_event_day_orc
mediate_tb,like_daily_report_active_orc
report_tb,like_daily_active_retetion_stats_day_orc
report_tb,like_daily_active_retetion_stats_day
mediate_tb,like_register_report_active_orc
report_tb,like_register_retetion_stats_day_orc
report_tb,like_register_retetion_stats_day
1v1,bigo_happy_hour_order_stat
1v1,bigo_happy_hour_login_stat
default,broadcaster_feature_7day_v1
default,prefgender_sample_map_1day_v1
vlog,welog_tbl_video_day_orc
default,prefgender_sample_map_1day_v1_2
default,prefgender_sample_map_7day_v1_2
default,prefgender_sample_map_7day_prediction_v1
default,prefgender_sample_1day_v1
default,prefgender_sample_7day_v1
default,prefgender_sample_map_7day_v1
default,prefgender_sample_7day_prediction_v1
default,prefgender_sample_map_7day_prediction_v1_2
report_tb,game_live_broadcast_time
default,lr_genderpref_all_feature_names_orc
bigolive,bigo_live_udp_ping
vlog,like_client_special_info
vlog,like_client_normal_info
report_tb,bigolive_daily_report_guxiaoying
report_tb,common_vodcaster_stats
report_tb,common_topic_stats
report_tb,common_topic_item_stats
report_tb,common_topic_item_detail_stats
bigolive,pkgloss_pp_event
bigolive,bigo_live_rec_event
bigolive,bigo_real_time_online_user
report_tb,common_http_upload_day_stats
default,rec_sample_feature_v4_rand_orc
default,rec_lr_sample_v4_4_tmp1_orc
default,rec_lr_sample_v4_4_tmp2_orc
default,rec_lr_sample_v4_4_1day_orc
report_tb,linkd_rtt_stats_day
report_tb,bigo_ticket_owner_rank
bigolive,bigo_sync_official_msg_event
vlog,tbl_phone_contacts_day_orc
report_tb,bigolive_luoshifa_top_recommand_list_data_by_uid_orc
bigolive,user_backpack_changelog_day_orc
bigolive,user_backpack_info_day_orc
report_tb,like_daily_active_part_orc
report_tb,bigolive_liuxiaofei_gift_change_by_uid
report_tb,bigolive_liuxiaofei_ticket_change_by_uid
report_tb,bigolive_user_regtime_orc
mediate_tb,bigolive_luoshifa_base_info_orc
algo,rec_imactive_all_users_30d_orc
vlog,welog_user_link_status
report_tb,bigolive_guxiaoying_guanzhongxiangqing_by_uid_orc
report_tb,bigolive_liuxiaofei_vmoney_change_by_uid
bigolive,bigo_hive_load_info
report_tb,bigolive_wjl_top_recommand_by_uid_orc
report_tb,bigolive_liuxiaofei_purchase_all_orc
report_tb,bigolive_liuxiaofei_new_pay_user_by_uid
vlog,linkd_proto_stats_v2
vlog,linkd_rtt_stats
vlog,linkd_proto_restime_detail
vlog,linkd_proto_http_stats
vlog,video_play_upload_stats
vlog,theme_live_stats
vlog,video_play_download_stats
vlog,server_theme_room_stats
vlog,forward_msg_stats
report_tb,like_zwp_music_report_data_for_web
report_tb,bigolive_luoshifa_shower_num_for_web
report_tb,bigolive_luoshifa_shower_num_distribution_of_ticket_for_web
report_tb,bigolive_luoshifa_shower_num_distribution_of_livetime_for_web
report_tb,bigolive_guxiaoying_flowaway_by_uid_orc
report_tb,bigolive_luoshifa_shower_num_daily_for_web
report_tb,bigolive_guxiaoying_backflow_by_uid_orc
report_tb,bigolive_guxiaoying_zhuboxiangqing_by_uid
report_tb,bigolive_guxiaoying_zhuboxiangqing_by_all
report_tb,bigolive_guxiaoying_guanzhongxiangqing_by_all
report_tb,bigolive_guxiaoying_rihuogoucheng_by_uid
report_tb,bigolive_wanliang_owner_stats_by_uid_orc
report_tb,bigolive_guxiaoying_retention_2days_by_country
report_tb,like_quality_stats
report_tb,report_wjl_game_type_orc
report_tb,bigolive_wangjialing_game_type_orc
report_tb,report_wjl_gametype_orc
report_tb,bigolive_guxiaoying_daily_active_part_orc
report_tb,bigolive_guxiaoying_livehouse_xiangqing_by_all
report_tb,bigolive_luoshifa_pc_owner_report_orc
report_tb,bigolive_luoshifa_mobile_owner_report_orc
bigolive,bigo_check_login_req
report_tb,like_guxiaoying_core_function_report_data_for_web
report_tb,bigolive_luoshifa_game_owner_report_orc
report_tb,bigolive_luoshifa_pc_audience_report_orc
