库名,表名,路径,du B,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,imo_tolikee_all_new_hdid_gaid_dunyuhui,/data/hive/report_tb.db/imo_tolikee_all_new_hdid_gaid_dunyuhui,1846106964,0.001679025,dunyuhui,,dunyuhui,hdfs,,,,
report_tb,like_yoga_monthly_active_fans_level_detail,/data/hive/report_tb.db/like_yoga_monthly_active_fans_level_detail,10586566326,0.009628426,huangyoujia,,huangyoujia,hdfs,,,,
report_tb,likee_fans_uids_all_test,/data/hive/report_tb.db/likee_fans_uids_all_test,9.49802E+11,0.863840279,linrongrong,,linrongrong,hdfs,,,,
report_tb,like_wyj_explore_hashtag_producer_temp1,/data/hive/report_tb.db/like_wyj_explore_hashtag_producer_temp1,9329007,8.48468E-06,wangyajun,,wangyajun,hdfs,,,,
report_tb,like_wyj_explore_hashtag_producer_label,/data/hive/report_tb.db/like_wyj_explore_hashtag_producer_label,1209339,1.09989E-06,wangyajun,,wangyajun,hdfs,,,,
report_tb,like_wyj_explore_hashtag_producer,/data/hive/report_tb.db/like_wyj_explore_hashtag_producer,10594995,9.63609E-06,wangyajun,,wangyajun,hdfs,,,,
report_tb,bigolive_one_trans_multi_abtest_data_luchao,/data/hive/report_tb.db/bigolive_one_trans_multi_abtest_data_luchao,1647201,1.49812E-06,luchao,,luchao,hdfs,,,,
report_tb,bigolive_zdx_beans_failreasons_web,/data/hive/report_tb.db/bigolive_zdx_beans_failreasons_web,58033485,5.27811E-05,zhangdongxue,,zhangdongxue,hdfs,,,,
report_tb,wf_fjy_hello_voice_text_abflage_hours,/data/hive/report_tb.db/wf_fjy_hello_voice_text_abflage_hours,140076,1.27398E-07,fujingya,,fujingya,hdfs,,,,
report_tb,like_sign_shower_info_lrr,/data/hive/report_tb.db/like_sign_shower_info_lrr,313388340,0.000285025,linrongrong,,linrongrong,hdfs,,,,
report_tb,imo_video_bd_domestic_udp_swh,/data/hive/report_tb.db/imo_video_bd_domestic_udp_swh,49648842,4.51554E-05,sunweihong,,sunweihong,hdfs,,,,
report_tb,imo_audio_bd_domestic_udp_swh,/data/hive/report_tb.db/imo_audio_bd_domestic_udp_swh,36689412,3.33688E-05,sunweihong,,sunweihong,hdfs,,,,
report_tb,imo_audio_bd_domestic_udp_cs_lossswh,/data/hive/report_tb.db/imo_audio_bd_domestic_udp_cs_lossswh,,,sunweihong,,,,,,,
report_tb,imo_video_bd_domestic_udp_cs_loss_swh,/data/hive/report_tb.db/imo_video_bd_domestic_udp_cs_loss_swh,19436754,1.76776E-05,sunweihong,,sunweihong,hdfs,,,,
report_tb,imo_audio_bd_domestic_udp_cs_loss_swh,/data/hive/report_tb.db/imo_audio_bd_domestic_udp_cs_loss_swh,19485318,1.77218E-05,sunweihong,,sunweihong,hdfs,,,,
report_tb,cd_helloyo_user_active_status_czl,/data/hive/report_tb.db/cd_helloyo_user_active_status_czl,89342361,8.12564E-05,chenzhanli1,,chenzhanli1,hdfs,,,,
report_tb,imo_hd_audio_hd_rat_feature_swh,/data/hive/report_tb.db/imo_hd_audio_hd_rat_feature_swh,2752109907,0.002503029,sunweihong,,sunweihong,hdfs,,,,
report_tb,bigolive_yty_gift_change_scene_simple1_web,/data/hive/report_tb.db/bigolive_yty_gift_change_scene_simple1_web,20590542948,0.01872699,yutianyu,,yutianyu,hdfs,,,,
report_tb,bigolive_yty_gift_change_scene_simple2_web,/data/hive/report_tb.db/bigolive_yty_gift_change_scene_simple2_web,3847539984,0.003499317,yutianyu,,yutianyu,hdfs,,,,
report_tb,imo_hd_video_hd_rat_feature_swh,/data/hive/report_tb.db/imo_hd_video_hd_rat_feature_swh,3456273570,0.003143462,sunweihong,,sunweihong,hdfs,,,,
report_tb,like_mdh_dedup_video_90days_mix,/data/hive/report_tb.db/like_mdh_dedup_video_90days_mix,11844323535,0.01077235,maidonghua,,maidonghua,hdfs,,,,
report_tb,likee_channel_fraud_month_summary,/data/hive/report_tb.db/likee_channel_fraud_month_summary,5365371,4.87978E-06,maihaoqian,,maihaoqian,hdfs,,,,
report_tb,like_mdh_dedup_video_90days_daily,/data/hive/report_tb.db/like_mdh_dedup_video_90days_daily,32517566799,0.029574555,maidonghua,,maidonghua,hdfs,,,,
report_tb,imo_av_hd_feature_basic_swh,/data/hive/report_tb.db/imo_av_hd_feature_basic_swh,1465227204,0.001332616,sunweihong,,sunweihong,hdfs,,,,
